Station Na,Station Id,State Code,State Name,Network Co,Network Na,Elevation,Latitude,Longitude,County Nam,County Cod,Start Date,End Date,Aspect_tif,Slope_tif1,LandCover,LC_Detail
Badger Pass,307,MT,MONTANA,SNTL,SNOTEL,6900,48.13088,-113.02317,Pondera,73,10/1/1968,1/1/2100,237.28471,7.24833,71,Grassland_Herbaceous
Baker Butte,308,AZ,ARIZONA,SNTL,SNOTEL,7363,34.45654,-111.40651,Coconino,5,10/1/1965,1/1/2100,301.38187,2.95879,42,Evergreen Forest
Baker Butte Smt,1140,AZ,ARIZONA,SNTL,SNOTEL,7752,34.45552,-111.38262,Coconino,5,5/18/2009,1/1/2100,354.03235,22.32137,21,Developed_Open Space
Bald Mtn.,309,WY,WYOMING,SNTL,SNOTEL,9380,44.8007,-107.84442,Big Horn,3,10/1/1975,1/1/2100,353.00418,13.84888,42,Evergreen Forest
Baldy,310,AZ,ARIZONA,SNTL,SNOTEL,9221,33.97845,-109.50357,Apache,1,11/1/1949,1/1/2100,69.12751,7.36216,42,Evergreen Forest
Banfield Mountain,311,MT,MONTANA,SNTL,SNOTEL,5600,48.5712,-115.44573,Lincoln,53,10/1/1968,1/1/2100,357.13345,6.72606,42,Evergreen Forest
Banner Summit,312,ID,IDAHO,SNTL,SNOTEL,7040,44.30342,-115.23447,Boise,15,10/1/1979,1/1/2100,33.21365,7.6427,42,Evergreen Forest
Bar M,1212,AZ,ARIZONA,SNTL,SNOTEL,6397,34.86142,-111.60497,Coconino,5,9/6/2012,1/1/2100,350.61182,6.41404,42,Evergreen Forest
Barker Lakes,313,MT,MONTANA,SNTL,SNOTEL,8250,46.09713,-113.13038,Deer Lodge,23,8/1/1977,1/1/2100,126.20293,5.36516,42,Evergreen Forest
Base Camp,314,WY,WYOMING,SNTL,SNOTEL,7060,43.94019,-110.44544,Teton,39,10/1/1979,1/1/2100,55.58833,5.80228,42,Evergreen Forest
Basin Creek,315,MT,MONTANA,SNTL,SNOTEL,7180,45.79737,-112.52047,Silver Bow,93,10/1/1976,1/1/2100,336.40356,6.9512,42,Evergreen Forest
Bassoo Peak,1190,MT,MONTANA,SNTL,SNOTEL,5150,47.85562,-114.75841,Sanders,89,10/12/2011,1/1/2100,20.22343,4.49681,42,Evergreen Forest
Bateman,316,NM,NEW MEXICO,SNTL,SNOTEL,9249,36.51174,-106.31543,Rio Arriba,39,10/1/1978,1/1/2100,40.67889,8.93384,43,Mixed Forest
Battle Mountain,317,WY,WYOMING,SNTL,SNOTEL,7498,41.05402,-107.26674,Carbon,7,10/1/1985,1/1/2100,93.87567,10.48455,41,Deciduous Forest
Beagle Springs,318,MT,MONTANA,SNTL,SNOTEL,8850,44.47147,-112.98191,Beaverhead,1,10/1/1976,1/1/2100,94.1339,13.17253,42,Evergreen Forest
Bear Basin,319,ID,IDAHO,SNTL,SNOTEL,5350,44.95222,-116.14293,Adams,3,10/1/1979,1/1/2100,254.45667,1.79988,42,Evergreen Forest
Bear Canyon,320,ID,IDAHO,SNTL,SNOTEL,7900,43.74367,-113.93797,Custer,37,10/1/1979,1/1/2100,332.19244,6.31574,42,Evergreen Forest
Bear Creek,321,NV,NEVADA,SNTL,SNOTEL,8040,41.83384,-115.45278,Elko,7,3/1/1976,1/1/2100,258.99774,7.15686,52,Shrub_Scrub
Bear Grass,1166,OR,OREGON,SNTL,SNOTEL,4720,44.3253,-122.0938,Linn,43,7/18/2011,1/1/2100,96.6715,20.35376,42,Evergreen Forest
Bear Lake,322,CO,COLORADO,SNTL,SNOTEL,9522,40.31176,-105.6467,Larimer,69,10/1/1979,1/1/2100,18.12756,9.36941,42,Evergreen Forest
Bear Mountain,323,ID,IDAHO,SNTL,SNOTEL,5400,48.30577,-116.07448,Bonner,17,10/1/1979,1/1/2100,331.08267,8.98403,42,Evergreen Forest
Bear River,1061,CO,COLORADO,SNTL,SNOTEL,9112,40.06152,-107.00948,Routt,107,10/1/2004,1/1/2100,335.98865,21.82192,42,Evergreen Forest
Bear River RS,992,UT,UTAH,SNTL,SNOTEL,8777,40.8852,-110.8277,Summit,43,10/28/2010,1/1/2100,279.97882,3.51445,42,Evergreen Forest
Bear Saddle,324,ID,IDAHO,SNTL,SNOTEL,6180,44.60533,-116.98097,Washington,87,10/1/1979,1/1/2100,230.06487,10.98431,42,Evergreen Forest
Bear Trap Meadow,325,WY,WYOMING,SNTL,SNOTEL,8200,43.88743,-107.06135,Johnson,19,10/1/1979,1/1/2100,282.09299,16.92991,42,Evergreen Forest
Beartooth Lake,326,WY,WYOMING,SNTL,SNOTEL,9360,44.94307,-109.56743,Park,29,10/1/1979,1/1/2100,2.32562,9.6589,42,Evergreen Forest
Beartown,327,CO,COLORADO,SNTL,SNOTEL,11600,37.71433,-107.5124,San Juan,111,10/1/1979,1/1/2100,131.49446,23.19411,42,Evergreen Forest
Beaver Ck Village,1041,CO,COLORADO,SNTL,SNOTEL,8565,39.59871,-106.51113,Eagle,37,11/1/2002,1/1/2100,343.68146,20.4474,43,Mixed Forest
Beaver Creek,328,MT,MONTANA,SNTL,SNOTEL,7850,44.94966,-111.35852,Gallatin,31,10/1/1966,1/1/2100,233.93858,6.47725,42,Evergreen Forest
Beaver Dams,329,UT,UTAH,SNTL,SNOTEL,7990,39.13683,-111.55813,Sanpete,39,6/18/1980,1/1/2100,350.26093,11.53752,22,Developed_Low Intensity
Beaver Divide,330,UT,UTAH,SNTL,SNOTEL,8280,40.61233,-111.09782,Summit,43,10/1/1978,1/1/2100,264.31665,4.97125,42,Evergreen Forest
Beaver Head,902,AZ,ARIZONA,SNTL,SNOTEL,8076,33.69115,-109.21685,Greenlee,11,10/1/1993,1/1/2100,353.83377,2.20318,42,Evergreen Forest
Beaver Pass,990,WA,WASHINGTON,SNTL,SNOTEL,3630,48.8793,-121.2555,Whatcom,73,10/1/2000,1/1/2100,126.71538,3.10856,42,Evergreen Forest
Beaver Reservoir,331,OR,OREGON,SNTL,SNOTEL,5150,45.14532,-118.219,Union,61,10/1/1979,1/1/2100,356.10416,11.10771,42,Evergreen Forest
Beaver Spring,1143,AZ,ARIZONA,SNTL,SNOTEL,9255,36.32671,-109.05702,Apache,1,10/1/2009,1/1/2100,92.23295,10.6057,42,Evergreen Forest
Ben Lomond Peak,332,UT,UTAH,SNTL,SNOTEL,7689,41.37603,-111.94405,Weber,57,10/1/1978,1/1/2100,14.82669,19.59668,42,Evergreen Forest
Ben Lomond Trail,333,UT,UTAH,SNTL,SNOTEL,5972,41.38291,-111.92103,Weber,57,6/3/1980,1/1/2100,64.70494,11.02801,41,Deciduous Forest
Berry Creek,334,NV,NEVADA,SNTL,SNOTEL,9377,39.31917,-114.62278,White Pine,33,10/1/1980,1/1/2100,19.26669,20.50935,52,Shrub_Scrub
Berthoud Summit,335,CO,COLORADO,SNTL,SNOTEL,11314,39.80364,-105.77786,Grand,49,9/1/1963,1/1/2100,119.21601,13.83463,52,Shrub_Scrub
Bevans Cabin,1214,UT,UTAH,SNTL,SNOTEL,6520,40.46182,-112.25233,Tooele,45,10/1/2012,1/1/2100,6.08057,24.22331,42,Evergreen Forest
Big Bend,336,NV,NEVADA,SNTL,SNOTEL,6898,41.76168,-115.6931,Elko,7,10/1/1978,1/1/2100,69.2494,3.62995,52,Shrub_Scrub
Big Creek Sum,337,NV,NEVADA,SNTL,SNOTEL,8685,39.29148,-117.11506,Lander,15,10/1/1980,1/1/2100,4.40857,50.86428,41,Deciduous Forest
Big Creek Summit,338,ID,IDAHO,SNTL,SNOTEL,6560,44.62621,-115.79561,Valley,85,10/1/1979,1/1/2100,88.64811,9.31539,42,Evergreen Forest
Big Flat,339,UT,UTAH,SNTL,SNOTEL,10349,38.30183,-112.35672,Beaver,1,10/1/1978,1/1/2100,326.70502,13.18917,42,Evergreen Forest
Big Goose,931,WY,WYOMING,SNTL,SNOTEL,7990,44.57924,-107.20068,Sheridan,33,7/22/1998,1/1/2100,318.13855,2.28555,42,Evergreen Forest
Big Meadow,340,NV,NEVADA,SNTL,SNOTEL,8235,39.455,-119.9422,Washoe,31,10/1/1983,1/1/2100,58.35698,7.61433,42,Evergreen Forest
Big Red Mountain,341,OR,OREGON,SNTL,SNOTEL,6050,42.05257,-122.85487,Jackson,29,10/1/1979,1/1/2100,37.85424,16.63667,42,Evergreen Forest
Big Sandy Opening,342,WY,WYOMING,SNTL,SNOTEL,9080,42.6458,-109.25965,Sublette,35,3/1/1963,1/1/2100,318.75986,5.67791,42,Evergreen Forest
Bigelow Camp,343,OR,OREGON,SNTL,SNOTEL,5130,42.07875,-123.34393,Josephine,33,10/1/1979,1/1/2100,203.93581,18.63102,42,Evergreen Forest
Billie Creek Divide,344,OR,OREGON,SNTL,SNOTEL,5280,42.40717,-122.26617,Klamath,35,10/1/1978,1/1/2100,160.26349,6.91581,42,Evergreen Forest
Bird Creek,1155,NV,NEVADA,SNTL,SNOTEL,7537,39.46138,-114.64863,White Pine,33,10/1/2011,1/1/2100,242.82153,13.75935,42,Evergreen Forest
Bison Lake,345,CO,COLORADO,SNTL,SNOTEL,10964,39.76458,-107.35628,Garfield,45,9/30/1985,1/1/2100,15.93814,8.69195,42,Evergreen Forest
Bisson Creek,346,MT,MONTANA,SNTL,SNOTEL,4920,47.68389,-113.99901,Lake,47,10/1/1988,1/1/2100,358.61353,8.6066,42,Evergreen Forest
Black Bear,347,MT,MONTANA,SNTL,SNOTEL,8170,44.50832,-111.12803,Gallatin,31,10/1/1967,1/1/2100,68.02431,3.28101,42,Evergreen Forest
Black Flat-U.M. Ck,348,UT,UTAH,SNTL,SNOTEL,9414,38.6799,-111.59765,Sevier,41,6/19/1980,1/1/2100,129.45995,8.56296,41,Deciduous Forest
Black Mesa,1185,CO,COLORADO,SNTL,SNOTEL,11564,37.78968,-108.18376,Dolores,33,7/28/2011,1/1/2100,353.75677,5.30878,42,Evergreen Forest
Black Mountain,1161,CO,COLORADO,SNTL,SNOTEL,8980,40.8879,-105.66404,Larimer,69,10/1/2010,1/1/2100,21.35899,14.01494,42,Evergreen Forest
Black Pine,349,MT,MONTANA,SNTL,SNOTEL,7210,46.414,-113.43095,Granite,39,10/1/1965,1/1/2100,153.49783,16.00959,42,Evergreen Forest
Blackhall Mtn,1119,WY,WYOMING,SNTL,SNOTEL,9839,41.05623,-106.714,Carbon,7,8/7/2009,1/1/2100,62.07856,7.09821,42,Evergreen Forest
Blacks Fork Jct,1162,UT,UTAH,SNTL,SNOTEL,8869,40.95814,-110.5828,Summit,43,9/30/2010,1/1/2100,83.37884,15.74031,41,Deciduous Forest
Blacktail Mtn,1144,MT,MONTANA,SNTL,SNOTEL,5650,47.98288,-114.3543,Flathead,29,8/25/2010,1/1/2100,52.98482,4.05175,42,Evergreen Forest
Blackwater,350,WY,WYOMING,SNTL,SNOTEL,9780,44.37667,-109.79333,Park,29,10/1/1979,1/1/2100,31.40434,29.15176,52,Shrub_Scrub
Blazed Alder,351,OR,OREGON,SNTL,SNOTEL,3650,45.4287,-121.85605,Clackamas,5,10/1/1979,1/1/2100,181.73772,11.14625,42,Evergreen Forest
Blewett Pass,352,WA,WASHINGTON,SNTL,SNOTEL,4240,47.35037,-120.6796,Chelan,7,10/1/1979,1/1/2100,297.7771,23.36463,42,Evergreen Forest
Blind Bull Sum,353,WY,WYOMING,SNTL,SNOTEL,8650,42.964,-110.60973,Sublette,35,10/1/1978,1/1/2100,314.91806,15.07526,42,Evergreen Forest
Blind Park,354,SD,SOUTH DAKOTA,SNTL,SNOTEL,6890,44.10772,-103.97688,Pennington,103,10/1/1989,1/1/2100,94.5297,1.53397,42,Evergreen Forest
Bloody Dick,355,MT,MONTANA,SNTL,SNOTEL,7600,45.16507,-113.50099,Beaverhead,1,10/1/1976,1/1/2100,130.85567,2.73481,42,Evergreen Forest
Blue Lakes,356,CA,CALIFORNIA,SNTL,SNOTEL,8067,38.608,-119.92437,Alpine,3,10/1/1980,1/1/2100,274.9053,9.6141,42,Evergreen Forest
Blue Mountain Spring,357,OR,OREGON,SNTL,SNOTEL,5870,44.24767,-118.51722,Grant,23,10/1/1978,1/1/2100,147.57906,4.5703,42,Evergreen Forest
Bobs Hollow,1278,UT,UTAH,SNTL,SNOTEL,9319,38.94569,-112.15349,Millard,27,10/6/2016,1/1/2100,65.27247,4.08464,43,Mixed Forest
Bogus Basin,978,ID,IDAHO,SNTL,SNOTEL,6340,43.76377,-116.09685,Boise,15,9/21/1999,1/1/2100,4.32225,34.15029,42,Evergreen Forest
Bone Springs Div,358,WY,WYOMING,SNTL,SNOTEL,9350,44.67888,-107.5811,Sheridan,33,10/1/1978,1/1/2100,300.47501,11.28705,71,Grassland_Herbaceous
Bostetter R.S.,359,ID,IDAHO,SNTL,SNOTEL,7500,42.16442,-114.19272,Cassia,31,10/1/1979,1/1/2100,110.54591,5.5044,42,Evergreen Forest
Boulder Mountain,360,MT,MONTANA,SNTL,SNOTEL,7950,46.5596,-111.28973,Meagher,59,10/1/1976,1/1/2100,87.67329,6.19001,42,Evergreen Forest
Bourne,361,OR,OREGON,SNTL,SNOTEL,5850,44.83052,-118.18787,Baker,1,10/1/1978,1/1/2100,193.73647,32.09556,42,Evergreen Forest
Bowman Springs,362,OR,OREGON,SNTL,SNOTEL,4530,45.36428,-118.46715,Umatilla,59,10/1/1978,1/1/2100,191.89655,10.00298,42,Evergreen Forest
Box Canyon,363,MT,MONTANA,SNTL,SNOTEL,6670,45.2719,-110.24903,Park,67,10/1/1976,1/1/2100,2.13858,8.92905,42,Evergreen Forest
Box Creek,364,UT,UTAH,SNTL,SNOTEL,9853,38.50809,-112.01856,Sevier,41,8/4/1979,1/1/2100,84.10107,4.69773,52,Shrub_Scrub
Box Springs,1156,UT,UTAH,SNTL,SNOTEL,9228,38.49746,-112.00779,Piute,31,10/1/2010,1/1/2100,71.60968,14.86794,52,Shrub_Scrub
Brackett Creek,365,MT,MONTANA,SNTL,SNOTEL,7320,45.89107,-110.93851,Gallatin,31,8/1/1992,1/1/2100,81.25185,20.96961,42,Evergreen Forest
Brian Head,1154,UT,UTAH,SNTL,SNOTEL,10039,37.67994,-112.85674,Iron,21,10/1/2011,1/1/2100,329.62329,11.09637,42,Evergreen Forest
Brighton,366,UT,UTAH,SNTL,SNOTEL,8766,40.59936,-111.58167,Salt Lake,35,9/24/1986,1/1/2100,306.73154,13.95141,42,Evergreen Forest
Bristlecone Trail,1111,NV,NEVADA,SNTL,SNOTEL,8890,36.31575,-115.69543,Clark,3,10/1/2008,1/1/2100,68.9581,20.04104,43,Mixed Forest
Brooklyn Lake,367,WY,WYOMING,SNTL,SNOTEL,10250,41.36038,-106.23038,Albany,1,10/1/1962,1/1/2100,147.13007,7.8036,42,Evergreen Forest
Brown Duck,368,UT,UTAH,SNTL,SNOTEL,10574,40.58102,-110.58587,Duchesne,13,10/1/1978,1/1/2100,323.4765,4.65583,42,Evergreen Forest
Brown Top,1080,WA,WASHINGTON,SNTL,SNOTEL,5830,48.92755,-121.19713,Whatcom,73,9/15/2009,1/1/2100,170.20018,17.75625,71,Grassland_Herbaceous
Brumley,369,CO,COLORADO,SNTL,SNOTEL,10594,39.08758,-106.54231,Lake,65,10/1/1979,1/1/2100,226.9115,3.40744,90,Woody Wetlands
Brundage Reservoir,370,ID,IDAHO,SNTL,SNOTEL,6250,45.04315,-116.13253,Adams,3,10/1/1985,1/1/2100,194.74269,7.88043,42,Evergreen Forest
Buck Flat,371,UT,UTAH,SNTL,SNOTEL,9409,39.134,-111.43722,Sanpete,39,10/1/1978,1/1/2100,40.14285,3.16243,52,Shrub_Scrub
Buck Pasture,1192,UT,UTAH,SNTL,SNOTEL,9632,40.84456,-110.66068,Summit,43,11/23/2011,1/1/2100,68.18575,6.4822,42,Evergreen Forest
Buckboard Flat,1153,UT,UTAH,SNTL,SNOTEL,8924,37.86943,-109.44717,San Juan,37,10/1/2012,1/1/2100,5.26752,24.99136,43,Mixed Forest
Buckinghorse,1107,WA,WASHINGTON,SNTL,SNOTEL,4870,47.7086,-123.45747,Jefferson,31,6/19/2008,1/1/2100,220.61366,29.3366,42,Evergreen Forest
Buckskin Joe,938,CO,COLORADO,SNTL,SNOTEL,11166,39.30378,-106.11316,Park,93,8/10/1998,1/1/2100,199.64516,17.42738,42,Evergreen Forest
Buckskin Lower,373,NV,NEVADA,SNTL,SNOTEL,6930,41.75067,-117.53182,Humboldt,13,10/1/1980,1/1/2100,352.32742,3.41825,52,Shrub_Scrub
Buffalo Park,913,CO,COLORADO,SNTL,SNOTEL,9249,40.22838,-106.5962,Grand,49,9/1/1995,1/1/2100,263.10123,1.06956,42,Evergreen Forest
Bug Lake,374,UT,UTAH,SNTL,SNOTEL,7987,41.68541,-111.41987,Rich,33,10/1/1978,1/1/2100,18.48696,11.79138,42,Evergreen Forest
Bumping Ridge,375,WA,WASHINGTON,SNTL,SNOTEL,4610,46.81003,-121.33058,Yakima,77,10/1/1978,1/1/2100,6.58827,2.58754,42,Evergreen Forest
Bunchgrass Mdw,376,WA,WASHINGTON,SNTL,SNOTEL,5000,48.68688,-117.17633,Pend Oreille,51,10/1/1979,1/1/2100,11.9759,5.09022,42,Evergreen Forest
Burgess Junction,377,WY,WYOMING,SNTL,SNOTEL,7880,44.78765,-107.52917,Sheridan,33,10/1/1979,1/1/2100,359.94104,6.82964,42,Evergreen Forest
Burnside Lake,1051,CA,CALIFORNIA,SNTL,SNOTEL,8129,38.71943,-119.8942,Alpine,3,10/1/2003,1/1/2100,189.31578,7.69121,42,Evergreen Forest
Burnt Mountain,942,WA,WASHINGTON,SNTL,SNOTEL,4170,47.0444,-121.94032,Pierce,53,7/1/1999,1/1/2100,143.05151,4.3442,42,Evergreen Forest
Burnt Mtn,981,MT,MONTANA,SNTL,SNOTEL,5880,45.2401,-109.45961,Carbon,9,9/30/2000,1/1/2100,30.13484,8.90787,42,Evergreen Forest
Burro Mountain,378,CO,COLORADO,SNTL,SNOTEL,9317,39.87504,-107.59902,Rio Blanco,103,10/1/1978,1/1/2100,254.49358,12.05275,41,Deciduous Forest
Burroughs Creek,379,WY,WYOMING,SNTL,SNOTEL,8750,43.69733,-109.67021,Fremont,13,10/1/1978,1/1/2100,152.45151,11.90174,52,Shrub_Scrub
Burts Miller Ranch,1135,UT,UTAH,SNTL,SNOTEL,8000,40.98492,-110.85075,Summit,43,10/1/2009,1/1/2100,8.22559,2.0996,95,Emergent Herbaceous Wetlands
Butte,380,CO,COLORADO,SNTL,SNOTEL,10200,38.89435,-106.95327,Gunnison,51,10/1/1979,1/1/2100,38.48549,6.67573,42,Evergreen Forest
Calamity,1109,WA,WASHINGTON,SNTL,SNOTEL,2500,45.90362,-122.21633,Skamania,59,8/21/2008,1/1/2100,27.67565,34.94162,42,Evergreen Forest
Calvert Creek,381,MT,MONTANA,SNTL,SNOTEL,6430,45.8838,-113.32553,Deer Lodge,23,10/1/1974,1/1/2100,172.36914,7.29479,42,Evergreen Forest
Camas Creek Divide,382,ID,IDAHO,SNTL,SNOTEL,5710,43.26548,-115.3453,Elmore,39,10/1/1991,1/1/2100,49.27742,4.32104,52,Shrub_Scrub
Camp Jackson,383,UT,UTAH,SNTL,SNOTEL,8858,37.81333,-109.48723,San Juan,37,10/1/1985,1/1/2100,341.58307,9.1592,41,Deciduous Forest
Canyon,384,WY,WYOMING,SNTL,SNOTEL,7870,44.71961,-110.51084,Park,29,10/1/1960,1/1/2100,9.91329,6.23092,42,Evergreen Forest
Carrot Basin,385,MT,MONTANA,SNTL,SNOTEL,9000,44.96192,-111.29403,Gallatin,31,10/1/1966,1/1/2100,142.78101,8.75276,52,Shrub_Scrub
Carson Pass,1067,CA,CALIFORNIA,SNTL,SNOTEL,8360,38.6927,-120.0022,Alpine,3,10/1/2004,1/1/2100,334.96045,9.22448,42,Evergreen Forest
Cascade,386,CO,COLORADO,SNTL,SNOTEL,8880,37.65083,-107.80602,San Juan,111,10/1/1978,1/1/2100,235.05025,2.11028,41,Deciduous Forest
Cascade #2,387,CO,COLORADO,SNTL,SNOTEL,9012,37.65751,-107.80287,San Juan,111,9/30/1990,1/1/2100,235.27156,5.75313,43,Mixed Forest
Cascade Mountain,1039,UT,UTAH,SNTL,SNOTEL,7774,40.283,-111.60992,Utah,49,10/17/2002,1/1/2100,12.40199,15.86976,41,Deciduous Forest
Cascade Summit,388,OR,OREGON,SNTL,SNOTEL,5100,43.59042,-122.0601,Deschutes,17,10/1/1979,1/1/2100,27.46285,21.96933,42,Evergreen Forest
Casper Mtn.,389,WY,WYOMING,SNTL,SNOTEL,7920,42.73362,-106.31789,Natrona,25,1/1/1962,1/1/2100,14.05283,12.68869,42,Evergreen Forest
Castle Creek,1130,WY,WYOMING,SNTL,SNOTEL,8400,43.6748,-109.3774,Fremont,13,8/18/2010,1/1/2100,30.36575,12.65946,42,Evergreen Forest
Castle Valley,390,UT,UTAH,SNTL,SNOTEL,9607,37.66098,-112.74093,Iron,21,6/21/1980,1/1/2100,137.1362,2.69243,43,Mixed Forest
Cave Mountain,1152,NV,NEVADA,SNTL,SNOTEL,10578,39.16337,-114.6133,White Pine,33,10/1/2011,1/1/2100,51.24955,7.77792,52,Shrub_Scrub
Cayuse Pass,1085,WA,WASHINGTON,SNTL,SNOTEL,5240,46.86954,-121.5343,Pierce,53,10/1/2006,1/1/2100,338.15094,18.46917,42,Evergreen Forest
Cedar Pass,391,CA,CALIFORNIA,SNTL,SNOTEL,7030,41.58233,-120.3025,Modoc,49,10/1/1977,1/1/2100,296.32098,2.97196,42,Evergreen Forest
Chalender,1139,AZ,ARIZONA,SNTL,SNOTEL,7035,35.26238,-112.06221,Coconino,5,5/15/2009,1/1/2100,21.42561,13.47865,42,Evergreen Forest
Chalk Creek #1,392,UT,UTAH,SNTL,SNOTEL,9171,40.85464,-111.04765,Summit,43,10/1/1978,1/1/2100,5.04417,7.14145,43,Mixed Forest
Chalk Creek #2,393,UT,UTAH,SNTL,SNOTEL,8208,40.88529,-111.06954,Summit,43,10/1/1978,1/1/2100,359.23477,33.02369,41,Deciduous Forest
Chamita,394,NM,NEW MEXICO,SNTL,SNOTEL,8383,36.95606,-106.65723,Rio Arriba,39,10/1/1978,1/1/2100,52.34979,14.75486,41,Deciduous Forest
Chapman Tunnel,1101,CO,COLORADO,SNTL,SNOTEL,10100,39.2621,-106.62944,Pitkin,97,9/1/2007,1/1/2100,275.36511,11.99538,42,Evergreen Forest
Chemult Alternate,395,OR,OREGON,SNTL,SNOTEL,4850,43.22625,-121.80662,Klamath,35,10/1/1979,1/1/2100,185.92819,2.42596,42,Evergreen Forest
Chepeta,396,UT,UTAH,SNTL,SNOTEL,10499,40.77458,-110.0105,Duchesne,13,7/16/1980,1/1/2100,153.52022,1.81423,42,Evergreen Forest
Chocolate Gulch,895,ID,IDAHO,SNTL,SNOTEL,6310,43.7685,-114.41812,Blaine,13,10/1/1992,1/1/2100,11.44961,25.06482,42,Evergreen Forest
Cinnabar Park,1046,WY,WYOMING,SNTL,SNOTEL,9707,41.23843,-106.23101,Albany,1,6/13/1999,1/1/2100,144.59038,5.81726,42,Evergreen Forest
Clackamas Lake,398,OR,OREGON,SNTL,SNOTEL,3400,45.09658,-121.75443,Clackamas,5,10/1/1979,1/1/2100,84.62793,8.22271,42,Evergreen Forest
Clayton Springs,983,UT,UTAH,SNTL,SNOTEL,10049,37.9725,-111.83355,Garfield,17,10/1/2000,1/1/2100,41.50054,1.68548,42,Evergreen Forest
Clear Creek #1,399,UT,UTAH,SNTL,SNOTEL,8975,39.86671,-111.28363,Utah,49,1/1/1978,1/1/2100,334.16956,9.41807,41,Deciduous Forest
Clear Creek #2,400,UT,UTAH,SNTL,SNOTEL,7837,39.89275,-111.25154,Utah,49,10/1/1978,1/1/2100,0.30926,20.90422,71,Grassland_Herbaceous
Clear Lake,401,OR,OREGON,SNTL,SNOTEL,3810,45.18832,-121.6916,Wasco,65,10/1/1979,1/1/2100,269.81427,2.03055,42,Evergreen Forest
Cloud Peak Reservoir,402,WY,WYOMING,SNTL,SNOTEL,9860,44.40343,-107.06057,Johnson,19,10/1/1978,1/1/2100,41.67323,2.64603,42,Evergreen Forest
Clover Meadow,403,MT,MONTANA,SNTL,SNOTEL,8600,45.01788,-111.8456,Madison,57,10/1/1971,1/1/2100,17.71496,4.05003,42,Evergreen Forest
Cochetopa Pass,1059,CO,COLORADO,SNTL,SNOTEL,10061,38.16273,-106.5988,Saguache,109,9/1/2004,1/1/2100,25.62931,14.48438,42,Evergreen Forest
Cold Springs,405,WY,WYOMING,SNTL,SNOTEL,9630,43.27676,-109.44585,Fremont,13,10/1/1980,1/1/2100,75.29892,8.56078,42,Evergreen Forest
Cold Springs Camp,406,OR,OREGON,SNTL,SNOTEL,5940,42.53305,-122.17683,Klamath,35,10/1/1979,1/1/2100,264.96445,10.59007,42,Evergreen Forest
Cole Canyon,982,WY,WYOMING,SNTL,SNOTEL,5910,44.48632,-104.41057,Crook,11,6/1/2000,1/1/2100,45.79505,4.21157,42,Evergreen Forest
Cole Creek,407,MT,MONTANA,SNTL,SNOTEL,7850,45.19405,-109.34548,Carbon,9,10/1/1960,1/1/2100,332.56747,9.07791,42,Evergreen Forest
Columbia Basin,1204,NV,NEVADA,SNTL,SNOTEL,6483,41.67167,-116.07033,Elko,7,12/23/2011,1/1/2100,194.66112,20.36913,71,Grassland_Herbaceous
Columbine,408,CO,COLORADO,SNTL,SNOTEL,9167,40.39591,-106.60437,Jackson,57,10/1/1978,1/1/2100,127.1256,6.32526,42,Evergreen Forest
Columbine Pass,409,CO,COLORADO,SNTL,SNOTEL,9171,38.41819,-108.38313,Montrose,85,10/1/1985,1/1/2100,119.22371,4.17579,41,Deciduous Forest
