Station Na,Station Id,State Code,State Name,Network Co,Network Na,Elevation,Latitude,Longitude,County Nam,County Cod,Start Date,End Date,Aspect_tif,Slope_tif1,join_lat,join_lon,distance,Station_name
Clear Lake,401,OR,OREGON,SNTL,SNOTEL,3810,45.18832,-121.6916,Wasco,65,10/1/1979,1/1/2100,269.81427,2.03055,45.1672965803859,-121.717982150685,0.0337342859274787,Clear_Lake
Cloud Peak Reservoir,402,WY,WYOMING,SNTL,SNOTEL,9860,44.40343,-107.06057,Johnson,19,10/1/1978,1/1/2100,41.67323,2.64603,44.4286659662379,-107.046120780822,0.0290797855359093,Cloud_Peak_Reservoir
Clover Meadow,403,MT,MONTANA,SNTL,SNOTEL,8600,45.01788,-111.8456,Madison,57,10/1/1971,1/1/2100,17.71496,4.05003,44.9968433617363,-111.83312639726,0.0244567151259717,Clover_Meadow
Cold Springs,405,WY,WYOMING,SNTL,SNOTEL,9630,43.27676,-109.44585,Fremont,13,10/1/1980,1/1/2100,75.29892,8.56078,43.2923111752412,-109.470708041096,0.0293216858061305,Cold_Springs
Cole Creek,407,MT,MONTANA,SNTL,SNOTEL,7850,45.19405,-109.34548,Carbon,9,10/1/1960,1/1/2100,332.56747,9.07791,45.1672965803859,-109.346370232877,0.026768226979447,Cole_Creek
Columbine,408,CO,COLORADO,SNTL,SNOTEL,9167,40.39591,-106.60437,Jackson,57,10/1/1978,1/1/2100,127.1256,6.32526,40.3946064581994,-106.610938452055,0.00669655012858488,Columbine
Columbine Pass,409,CO,COLORADO,SNTL,SNOTEL,9171,38.41819,-108.38313,Montrose,85,10/1/1985,1/1/2100,119.22371,4.17579,38.405985573955,-108.413836671233,0.033043118395512,Columbine_Pass
Columbus Basin,904,CO,COLORADO,SNTL,SNOTEL,10781,37.44146,-108.02468,La Plata,67,8/30/1994,1/1/2100,1.9872,21.31006,37.4400840016077,-108.040823246575,0.0162017832832315,Columbus_Basin
Combination,410,MT,MONTANA,SNTL,SNOTEL,5600,46.46523,-113.39358,Granite,39,10/1/1965,1/1/2100,93.42301,13.38994,46.4741045900322,-113.387349,0.0108436022261798,Combination
Copper Bottom,413,MT,MONTANA,SNTL,SNOTEL,5200,47.05678,-112.595,Lewis and Clark,49,10/1/1978,1/1/2100,253.16808,9.80667,47.0422819855305,-112.579153246575,0.0214781753803832,Copper_Bottom
Copper Camp,414,MT,MONTANA,SNTL,SNOTEL,6950,47.08158,-112.72955,Lewis and Clark,49,10/1/1978,1/1/2100,153.80431,10.79403,47.0990997250804,-112.703491054795,0.0314007864884041,Copper_Camp
Copper Mountain,415,CO,COLORADO,SNTL,SNOTEL,10523,39.48917,-106.17154,Summit,117,10/1/1978,1/1/2100,328.17432,20.35838,39.4855226254019,-106.175756123288,0.00557485758011173,Copper_Mountain
Corral Canyon,417,NV,NEVADA,SNTL,SNOTEL,8445,40.27551,-115.54017,Elko,7,10/1/1978,1/1/2100,15.17028,29.15965,40.2809709790997,-115.563260643836,0.0237276236797611,Corral_Canyon
Cottonwood Creek,419,WY,WYOMING,SNTL,SNOTEL,7670,42.6459,-110.81482,Lincoln,23,10/1/1980,1/1/2100,322.71655,18.50983,42.6673160401929,-110.838423931507,0.0318714976135588,Cottonwood_Creek
Cougar Mountain,420,WA,WASHINGTON,SNTL,SNOTEL,3200,47.27666,-121.67138,King,33,10/1/1979,1/1/2100,357.13293,5.92491,47.2695529437299,-121.655813246575,0.0171123949528203,Cougar_Mountain
County Line,422,OR,OREGON,SNTL,SNOTEL,4830,45.19107,-118.55015,Umatilla,59,10/1/1979,1/1/2100,259.6716,3.59546,45.1672965803859,-118.547368041096,0.0239356381885206,County_Line
Cozy Cove,423,ID,IDAHO,SNTL,SNOTEL,5400,44.28846,-115.65508,Valley,85,10/1/1978,1/1/2100,300.73907,12.02883,44.3150304871383,-115.625429547945,0.0398138178756087,Cozy_Cove
Crab Creek,424,ID,IDAHO,SNTL,SNOTEL,6900,44.437,-111.99384,Clark,33,10/1/1979,1/1/2100,48.17824,20.46237,44.4286659662379,-112.019633109589,0.0271060993323892,Crab_Creek
Crater Meadows,425,ID,IDAHO,SNTL,SNOTEL,5960,46.56394,-115.28903,Clearwater,35,10/1/1983,1/1/2100,127.40081,12.06378,46.5877400691318,-115.314585027397,0.0349213790669823,Crater_Meadows
Crosho,426,CO,COLORADO,SNTL,SNOTEL,8973,40.16749,-107.05769,Rio Blanco,103,10/1/1985,1/1/2100,225.05992,2.00778,40.1673355,-107.046120780822,0.0115702507595385,Crosho
Crystal Lake,427,MT,MONTANA,SNTL,SNOTEL,6050,46.78942,-109.51205,Fergus,27,9/1/1967,1/1/2100,358.90332,16.29997,46.8150110273312,-109.532876945205,0.0329948833372465,Crystal_Lake
Css Lab,428,CA,CALIFORNIA,SNTL,SNOTEL,6894,39.32565,-120.36807,Nevada,57,10/1/1980,1/1/2100,266.56049,10.01719,39.3150694067524,-120.350266260274,0.0207104346092151,Css_Lab
Daisy Peak,919,MT,MONTANA,SNTL,SNOTEL,7600,46.66858,-110.33022,Meagher,59,9/1/1977,1/1/2100,185.60078,11.32584,46.6445578086817,-110.34107269863,0.0263599458134266,Daisy_Peak
Daly Lake,434,OR,OREGON,SNTL,SNOTEL,3690,44.52147,-122.08718,Linn,43,10/1/1978,1/1/2100,10.76688,22.1901,44.5423014453376,-122.090995575342,0.0211780010870686,Daly_Lake
Darkhorse Lake,436,MT,MONTANA,SNTL,SNOTEL,8945,45.17367,-113.58448,Beaverhead,1,8/1/1977,1/1/2100,169.84395,10.94613,45.1672965803859,-113.573855712329,0.0123893488970729,Darkhorse_Lake
Deadman Creek,437,MT,MONTANA,SNTL,SNOTEL,6450,46.79279,-110.67545,Meagher,59,10/1/1966,1/1/2100,126.44042,7.96883,46.8150110273312,-110.651917219178,0.0323661216223113,Deadman_Creek
Deadman Hill,438,CO,COLORADO,SNTL,SNOTEL,10239,40.80572,-105.77018,Larimer,69,10/1/1978,1/1/2100,40.815,6.88769,40.7923306350482,-105.740573794521,0.0324931146041301,Deadman_Hill
Deadwood Summit,439,ID,IDAHO,SNTL,SNOTEL,6860,44.54514,-115.5638,Valley,85,10/1/1978,1/1/2100,136.27478,8.92157,44.5423014453376,-115.563260643836,0.00288934207789524,Deadwood_Summit
Deer Park,923,WY,WYOMING,SNTL,SNOTEL,9700,42.59076,-108.90273,Fremont,13,8/14/1997,1/1/2100,40.85962,10.67435,42.6104983006431,-108.91118790411,0.0214740926283532,Deer_Park
Derr.,440,OR,OREGON,SNTL,SNOTEL,5850,44.4465,-119.93012,Wheeler,69,10/1/1979,1/1/2100,157.33353,4.15612,44.4286659662379,-119.915083931507,0.0233267253585667,Derr
Diamond Lake,442,OR,OREGON,SNTL,SNOTEL,5280,43.18787,-122.14003,Douglas,19,10/1/1979,1/1/2100,13.21276,5.63887,43.1786756961415,-122.153164479452,0.0160327718725615,Diamond_Lake
Disaster Peak,445,NV,NEVADA,SNTL,SNOTEL,6260,41.96737,-118.18934,Humboldt,13,10/1/1980,1/1/2100,126.18996,8.58159,41.9855031655949,-118.174354616438,0.0235238903031024,Disaster_Peak
Dismal Swamp,446,CA,CALIFORNIA,SNTL,SNOTEL,7360,41.99127,-120.18033,Modoc,49,10/1/1979,1/1/2100,139.65213,11.53876,41.9855031655949,-120.163759547945,0.0175452631887542,Dismal_Swamp
Divide,448,MT,MONTANA,SNTL,SNOTEL,7800,44.79317,-112.05645,Madison,57,1/1/1971,1/1/2100,33.25953,9.64435,44.769572403537,-112.081802013699,0.0346348257888712,Divide
Dome Lake,451,WY,WYOMING,SNTL,SNOTEL,8880,44.57462,-107.29537,Sheridan,33,10/1/1978,1/1/2100,30.93358,7.34804,44.5991191848875,-107.29479639726,0.0245058988869018,Dome_Lake
Dorsey Basin,453,NV,NEVADA,SNTL,SNOTEL,7903,40.89343,-115.21104,Elko,7,10/1/1978,1/1/2100,191.53075,4.62364,40.9059661141479,-115.190247219178,0.024279495304486,Dorsey_Basin
Dry Bread Pond,455,UT,UTAH,SNTL,SNOTEL,8302,41.41289,-111.5377,Cache,5,10/1/1978,1/1/2100,188.72716,15.73786,41.4173257700965,-111.522281876712,0.0160435214985048,Dry_Bread_Pond
Dry Lake,457,CO,COLORADO,SNTL,SNOTEL,8271,40.5337,-106.7814,Routt,107,10/1/1979,1/1/2100,184.14761,17.18655,40.508241937299,-106.797445164384,0.0300925282520064,Dry_Lake
Dupuyer Creek,458,MT,MONTANA,SNTL,SNOTEL,5750,48.06341,-112.7573,Teton,99,10/1/1982,1/1/2100,346.84253,14.51475,48.0650012974276,-112.765659958904,0.00851006112666507,Dupuyer_Creek
East Rim Divide,460,WY,WYOMING,SNTL,SNOTEL,7930,43.13097,-110.2023,Sublette,35,10/1/1984,1/1/2100,358.83389,12.49404,43.1218579565916,-110.216734890411,0.0170703074446376,East_Rim_Divide
Ebbetts Pass,462,CA,CALIFORNIA,SNTL,SNOTEL,8661,38.5497,-119.80468,Alpine,3,10/1/1978,1/1/2100,280.01108,10.57064,38.5764387926045,-119.790746123288,0.030151549714262,Ebbetts_Pass
Echo Lake,936,CO,COLORADO,SNTL,SNOTEL,10694,39.65539,-105.59358,Clear Creek,19,8/10/1998,1/1/2100,33.1328,13.32182,39.6559758440514,-105.616235986301,0.0226635594848611,Echo_Lake
Echo Peak,463,CA,CALIFORNIA,SNTL,SNOTEL,7653,38.849,-120.0795,El Dorado,17,10/1/1980,1/1/2100,143.99179,19.59531,38.8605274903537,-120.101590643836,0.0249174553063519,Echo_Peak
Eilertson Meadows,464,OR,OREGON,SNTL,SNOTEL,5510,44.86887,-118.11387,Baker,1,10/1/1979,1/1/2100,298.84637,5.48872,44.8832078826367,-118.112185712329,0.0144364712953816,Eilertson_Meadows
Elk Butte,466,ID,IDAHO,SNTL,SNOTEL,5690,46.83998,-116.12233,Clearwater,35,10/1/1982,1/1/2100,210.42613,17.0355,46.8150110273312,-116.122780780822,0.0249730414544263,Elk_Butte
Elk River,467,CO,COLORADO,SNTL,SNOTEL,8739,40.84758,-106.96861,Routt,107,10/1/1978,1/1/2100,280.95752,18.20327,40.8491483745981,-106.983951876712,0.0154218345188301,Elk_River
Elkhart Park G.S.,468,WY,WYOMING,SNTL,SNOTEL,9400,43.00657,-109.75893,Sublette,35,10/1/1963,1/1/2100,313.104,10.33553,43.008222477492,-109.781552561644,0.0226828344171993,Elkhart_Park_G_S
Emery Creek,469,MT,MONTANA,SNTL,SNOTEL,4350,48.43412,-113.93725,Flathead,29,10/1/1975,1/1/2100,219.44762,4.17145,48.4059077347267,-113.946869136986,0.0298070412521284,Emery_Creek
Emigrant Springs,470,OR,OREGON,SNTL,SNOTEL,3800,45.55808,-118.45383,Umatilla,59,10/1/1979,1/1/2100,161.4482,11.32557,45.5650207572347,-118.423030232877,0.0315721359084571,Emigrant_Springs
Emigrant Summit,471,ID,IDAHO,SNTL,SNOTEL,7390,42.36055,-111.56085,Bear Lake,7,10/1/1979,1/1/2100,320.16675,6.84984,42.3832273424437,-111.584450780822,0.032730088843702,Emigrant_Summit
Evening Star,472,WY,WYOMING,SNTL,SNOTEL,9200,44.65258,-109.78422,Park,29,10/1/1979,1/1/2100,0.93492,12.56865,44.6559369244373,-109.781552561644,0.00428767641745354,Evening_Star
Fish Lk.,479,OR,OREGON,SNTL,SNOTEL,4660,42.3801,-122.34943,Jackson,29,10/1/1979,1/1/2100,178.5493,3.01226,42.3832273424437,-122.339671191781,0.0102476635686142,Fish_Lk
Fisher Creek,480,MT,MONTANA,SNTL,SNOTEL,9100,45.06235,-109.94488,Park,67,10/1/1966,1/1/2100,52.74408,9.31986,45.0536611012862,-109.968059273973,0.0247543067520391,Fisher_Creek
Fourmile Lake,483,OR,OREGON,SNTL,SNOTEL,5970,42.43933,-122.2288,Klamath,35,10/1/1978,1/1/2100,72.43899,5.99407,42.4400450819936,-122.215333383562,0.0134855886243812,Fourmile_Lake
Franklin Basin,484,ID,IDAHO,SNTL,SNOTEL,8140,42.0505,-111.6012,Franklin,41,10/1/1978,1/1/2100,281.14526,7.53774,42.0423209051447,-111.584450780822,0.0186395798162142,Franklin_Basin
Frohner Meadow,487,MT,MONTANA,SNTL,SNOTEL,6480,46.43545,-112.19277,Jefferson,43,10/1/1967,1/1/2100,119.53141,2.05281,46.4172868504823,-112.206139821918,0.022553317683251,Frohner_Meadow
Galena,489,ID,IDAHO,SNTL,SNOTEL,7470,43.87722,-114.6725,Blaine,13,10/1/1979,1/1/2100,35.44619,11.14059,43.8604885707395,-114.692895986301,0.0263806175494371,Galena
Galena Summit,490,ID,IDAHO,SNTL,SNOTEL,8780,43.87497,-114.71363,Blaine,13,10/1/1978,1/1/2100,66.69633,9.12791,43.8604885707395,-114.692895986301,0.0252905341481174,Galena_Summit
Gallegos Peak,491,NM,NEW MEXICO,SNTL,SNOTEL,9480,36.19418,-105.55742,Taos,55,10/1/1979,1/1/2100,3.34569,6.79738,36.1900937315113,-105.554067082192,0.00528579681683949,Gallegos_Peak
Garfield R.S.,492,ID,IDAHO,SNTL,SNOTEL,6560,43.6104,-113.9308,Blaine,13,10/1/1979,1/1/2100,242.20361,18.98003,43.6332176125402,-113.946869136986,0.0279080741992221,Garfield_R_S
Garver Creek,918,MT,MONTANA,SNTL,SNOTEL,4250,48.97523,-115.81915,Lincoln,53,10/1/1968,1/1/2100,97.75777,1.67581,48.9740851302251,-115.811936260274,0.00730402407142328,Garver_Creek
Gerber Reservoir,945,OR,OREGON,SNTL,SNOTEL,4890,42.2062,-121.1334,Klamath,35,10/1/1998,1/1/2100,47.55276,5.26086,42.2127741237942,-121.158462013699,0.0259099138229025,Gerber_Reservoir
Giveout,493,ID,IDAHO,SNTL,SNOTEL,6930,42.4132,-111.1663,Bear Lake,7,10/1/1979,1/1/2100,77.30629,12.7754,42.4400450819936,-111.149268452055,0.0317920124032158,Giveout
Gold Center,494,OR,OREGON,SNTL,SNOTEL,5410,44.7638,-118.3117,Grant,23,10/1/1979,1/1/2100,214.2847,15.77933,44.769572403537,-118.298692424658,0.0142308699267386,Gold_Center
